"customer_id","lifetime_sales","lifetime_profit","customer_tier"
TC-111452,3384,1057.086,Gold (Profitable)
VT-217002,1496,325.3425,Silver (Low Margin)
DJ-135102,4513,854.400,Silver (Low Margin)
AT-104351,2779,502.0815,Silver (Low Margin)
PS-90452,489,-114.804,Red (Loss Making)
AY-105552,3023,1041.768,Gold (Profitable)
JR-162101,6360,170.211,Silver (Low Margin)
VW-117752,328,-21.324,Red (Loss Making)
GH-144104,2819,-576.8335,Red (Loss Making)
LD-168554,5,0.4641,Silver (Low Margin)
EK-137954,1302,97.1066,Silver (Low Margin)
PO-191951,5331,-1060.8156,Red (Loss Making)
JO-51452,650,231.924,Silver (Low Margin)
ES-140801,4914,239.0496,Silver (Low Margin)
CP-123401,6559,1513.521,Gold (Profitable)
SL-201553,3815,20.348,Silver (Low Margin)
KM-163752,6772,-16.878,Red (Loss Making)
JM-56553,102,24.57,Silver (Low Margin)
PC-87451,85,15.99,Silver (Low Margin)
MG-82052,15,5.43,Silver (Low Margin)
CC-26101,782,52.818,Silver (Low Margin)
FC-43351,126,29.58,Silver (Low Margin)
NF-185952,1557,136.293,Silver (Low Margin)
PK-189104,1441,-798.705,Red (Loss Making)
SR-104252,107,28.68,Silver (Low Margin)
HJ-48752,890,211.02,Silver (Low Margin)
CL-127004,2354,229.0099,Silver (Low Margin)
BT-113952,5228,1481.307,Gold (Profitable)
JM-156552,6473,195.834,Silver (Low Margin)
RR-195253,5293,-2030.752,Red (Loss Making)
BW-111102,10394,1686.2220,Gold (Profitable)
AG-4952,52,9.15,Silver (Low Margin)
SR-204251,2027,169.074,Silver (Low Margin)
CC-126104,2541,331.4340,Silver (Low Margin)
PW-90302,574,-254.202,Red (Loss Making)
CH-120703,832,-238.45424,Red (Loss Making)
KC-166754,1145,156.7797,Silver (Low Margin)
DK-32252,585,7.134,Silver (Low Margin)
RD-196603,751,88.336,Silver (Low Margin)
PO-91801,416,-566.052,Red (Loss Making)
BN-14701,1325,387.30,Silver (Low Margin)
BP-111854,3676,363.5991,Silver (Low Margin)
MK-179052,2601,411.2265,Silver (Low Margin)
SR-207402,5929,1279.20,Gold (Profitable)
FA-142301,2177,194.1693,Silver (Low Margin)
AB-100604,7757,2054.5885,Gold (Profitable)
CK-123251,1916,160.5222,Silver (Low Margin)
CG-120402,373,-139.860,Red (Loss Making)
VP-117302,304,-278.340,Red (Loss Making)
VB-117451,386,116.43,Silver (Low Margin)
TT-112652,2433,439.932,Silver (Low Margin)
TT-212654,439,93.9162,Silver (Low Margin)
TS-112051,584,36.51,Silver (Low Margin)
ED-138853,4922,1132.32,Gold (Profitable)
RB-197054,2068,243.0755,Silver (Low Margin)
FH-142752,2972,504.342,Silver (Low Margin)
DV-30451,1269,115.791,Silver (Low Margin)
AC-106153,1699,3.25268,Silver (Low Margin)
DL-34952,118,-94.704,Red (Loss Making)
PS-189704,1278,198.5099,Silver (Low Margin)
JJ-157603,1904,155.35408,Silver (Low Margin)
CW-119051,2652,194.346,Silver (Low Margin)
TH-112352,2447,562.038,Silver (Low Margin)
SF-109652,1608,422.532,Silver (Low Margin)
MG-178752,6604,77.0895,Silver (Low Margin)
BS-113652,4186,1397.325,Gold (Profitable)
DV-130454,1122,-427.1840,Red (Loss Making)
KM-163754,5622,973.7902,Silver (Low Margin)
PW-190304,3454,803.8169,Silver (Low Margin)
SJ-201253,2515,779.544,Silver (Low Margin)
CH-120704,1537,195.1511,Silver (Low Margin)
JR-162103,2141,254.032,Silver (Low Margin)
KE-164201,3589,397.2936,Silver (Low Margin)
DB-132703,118,-8.13,Red (Loss Making)
AR-103452,7043,771.624,Silver (Low Margin)
MS-179802,7202,953.535,Silver (Low Margin)
DB-32701,662,135.75,Silver (Low Margin)
SU-206652,1111,-131.421,Red (Loss Making)
MP-79651,295,82.533,Silver (Low Margin)
JS-159401,22,10.86,Silver (Low Margin)
HR-147702,3553,667.782,Silver (Low Margin)
AT-104353,3364,843.152,Silver (Low Margin)
BM-115753,2908,291.94908,Silver (Low Margin)
JK-156403,3219,355.5720,Silver (Low Margin)
VM-216854,2454,513.5269,Silver (Low Margin)
SR-107401,158,46.68,Silver (Low Margin)
BV-112452,10437,2761.272,Gold (Profitable)
KH-66903,1241,-170.256,Red (Loss Making)
BT-113052,2919,545.691,Silver (Low Margin)
DM-133453,1290,193.20,Silver (Low Margin)
DK-128352,4960,1549.830,Gold (Profitable)
BS-113801,8133,342.1545,Silver (Low Margin)
RB-194653,3867,776.3104,Silver (Low Margin)
JP-161354,1706,309.7116,Silver (Low Margin)
ND-84602,41,11.16,Silver (Low Margin)
FC-143352,914,186.2925,Silver (Low Margin)
SC-200501,5484,869.6595,Silver (Low Margin)
RS-194204,3221,633.4514,Silver (Low Margin)
MH-177853,2017,-548.52056,Red (Loss Making)
AJ-107804,4868,150.7130,Silver (Low Margin)
DH-30752,476,-115.788,Red (Loss Making)
MH-181151,2634,659.790,Silver (Low Margin)
