"location_key","city","state","country","region","market"
Oyama-Tochigi-Japan,Oyama,Tochigi,Japan,North Asia,APAC
Seoul-Seoul-South Korea,Seoul,Seoul,South Korea,North Asia,APAC
Cassilândia-Mato Grosso do Sul-Brazil,Cassilândia,Mato Grosso do Sul,Brazil,South,LATAM
Chittagong-Chittagong-Bangladesh,Chittagong,Chittagong,Bangladesh,Central Asia,APAC
Purwokerto-Jawa Tengah-Indonesia,Purwokerto,Jawa Tengah,Indonesia,Southeast Asia,APAC
Mijas-Andalusía-Spain,Mijas,Andalusía,Spain,South,EU
Fuzhou-Fujian-China,Fuzhou,Fujian,China,North Asia,APAC
Shinyanga-Shinyanga-Tanzania,Shinyanga,Shinyanga,Tanzania,Africa,Africa
Mudanjiang-Heilongjiang-China,Mudanjiang,Heilongjiang,China,North Asia,APAC
Peshawar-Khyber Pakhtunkhwa-Pakistan,Peshawar,Khyber Pakhtunkhwa,Pakistan,Central Asia,APAC
Huaibei-Anhui-China,Huaibei,Anhui,China,North Asia,APAC
Newark-Delaware-United States,Newark,Delaware,United States,East,US
Hadera-Haifa-Israel,Hadera,Haifa,Israel,EMEA,EMEA
Dieppe-Upper Normandy-France,Dieppe,Upper Normandy,France,Central,EU
Shaoxing-Zhejiang-China,Shaoxing,Zhejiang,China,North Asia,APAC
Drancy-Ile-de-France-France,Drancy,Ile-de-France,France,Central,EU
South Shields-England-United Kingdom,South Shields,England,United Kingdom,North,EU
Sierra Vista-Arizona-United States,Sierra Vista,Arizona,United States,West,US
Neuquén-Neuquén-Argentina,Neuquén,Neuquén,Argentina,South,LATAM
Mbuji-mayi-Kasai-Oriental-Democratic Republic of the Congo,Mbuji-mayi,Kasai-Oriental,Democratic Republic of the Congo,Africa,Africa
Auch-Midi-Pyrénées-France,Auch,Midi-Pyrénées,France,Central,EU
Arezzo-Tuscany-Italy,Arezzo,Tuscany,Italy,South,EU
Yopal-Casanare-Colombia,Yopal,Casanare,Colombia,South,LATAM
