"product_id","category","sub_category","product_name"
OFF-HAR-10000681,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, 5000 Label Set"
OFF-AP-10003860,Office Supplies,Appliances,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection
TEC-PH-10004774,Technology,Phones,Gear Head AU3700S Headset
FUR-CH-10004312,Furniture,Chairs,"Hon Bag Chairs, Set of Two"
OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book
OFF-STO-10004940,Office Supplies,Fasteners,"Stockwell Push Pins, Assorted Sizes"
TEC-PH-10001557,Technology,Phones,Pyle PMP37LED
FUR-TA-10001600,Furniture,Tables,"Lesro Coffee Table, Fully Assembled"
TEC-MA-10003246,Technology,Machines,Hewlett-Packard Deskjet D4360 Printer
TEC-AC-10000284,Technology,Accessories,"Belkin Flash Drive, Bluetooth"
OFF-BI-10003876,Office Supplies,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets"
TEC-CO-10001893,Technology,Copiers,"HP Wireless Fax, Color"
FUR-TA-10004649,Furniture,Tables,"Barricks Round Table, Rectangular"
OFF-EN-10002449,Office Supplies,Envelopes,"Ames Interoffice Envelope, Security-Tint"
FUR-TA-10003954,Furniture,Tables,"Barricks Conference Table, with Bottom Storage"
OFF-SU-10001066,Office Supplies,Supplies,"Kleencut Box Cutter, Easy Grip"
OFF-AME-10002697,Office Supplies,Envelopes,"Ames Business Envelopes, Recycled"
OFF-AR-10001622,Office Supplies,Art,"BIC Markers, Easy-Erase"
OFF-EN-10004849,Office Supplies,Envelopes,"Cameo Mailers, Security-Tint"
TEC-PH-10003713,Technology,Phones,"Cisco Audio Dock, Cordless"
OFF-PA-10003651,Office Supplies,Paper,Xerox 1968
OFF-ST-10001091,Office Supplies,Storage,"Smead Box, Industrial"
OFF-AP-10004113,Office Supplies,Appliances,"Cuisinart Toaster, White"
OFF-AR-10001965,Office Supplies,Art,"BIC Markers, Easy-Erase"
TEC-PH-10004074,Technology,Phones,"Samsung Smart Phone, with Caller ID"
OFF-STA-10002654,Office Supplies,Art,"Stanley Pencil Sharpener, Fluorescent"
OFF-EN-10003498,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Recycled"
OFF-AR-10004454,Office Supplies,Art,"BIC Pens, Easy-Erase"
OFF-LA-10000413,Office Supplies,Labels,"Hon Legal Exhibit Labels, Alphabetical"
FUR-BO-10003046,Furniture,Bookcases,"Safco Library with Doors, Mobile"
OFF-BI-10003452,Office Supplies,Binders,"Acco Binding Machine, Economy"
TEC-BEL-10000681,Technology,Accessories,"Belkin Mouse, USB"
FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories
FUR-CH-10002631,Furniture,Chairs,"Office Star Bag Chairs, Black"
OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors"
FUR-FU-10002630,Furniture,Furnishings,"Tenex Clock, Erganomic"
TEC-AC-10001106,Technology,Accessories,"Belkin Numeric Keypad, Erganomic"
TEC-OKI-10002547,Technology,Machines,"Okidata Phone, Durable"
TEC-AC-10002370,Technology,Accessories,"SanDisk Flash Drive, Bluetooth"
TEC-AC-10000580,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display
OFF-PA-10004187,Office Supplies,Paper,"Xerox Message Books, Multicolor"
OFF-PA-10004286,Office Supplies,Paper,"Enermax Cards & Envelopes, Recycled"
OFF-FA-10003021,Office Supplies,Fasteners,Staples
OFF-PA-10000210,Office Supplies,Paper,Xerox Blank Computer Paper
OFF-PA-10001448,Office Supplies,Paper,"Xerox Note Cards, Recycled"
FUR-DEF-10002865,Furniture,Furnishings,"Deflect-O Light Bulb, Erganomic"
OFF-AR-10000475,Office Supplies,Art,"Sanford Canvas, Blue"
OFF-PA-10003510,Office Supplies,Paper,"Enermax Message Books, Recycled"
OFF-AP-10003040,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection
FUR-BO-10001010,Furniture,Bookcases,"Dania Corner Shelving, Mobile"
OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum
OFF-LA-10000095,Office Supplies,Labels,"Avery Round Labels, Laser Printer Compatible"
OFF-AR-10004485,Office Supplies,Art,"Sanford Pens, Water Color"
TEC-MA-10003986,Technology,Machines,"Konica Receipt Printer, Wireless"
TEC-PH-10001805,Technology,Phones,"Nokia Speaker Phone, Full Size"
TEC-CO-10004409,Technology,Copiers,"Hewlett Fax and Copier, High-Speed"
OFF-LA-10002020,Office Supplies,Labels,"Novimex Color Coded Labels, 5000 Label Set"
TEC-AC-10000025,Technology,Accessories,"SanDisk Memory Card, Bluetooth"
OFF-PA-10004531,Office Supplies,Paper,"SanDisk Note Cards, 8.5 x 11"
OFF-AME-10001587,Office Supplies,Envelopes,"Ames Peel and Seal, with clear poly window"
OFF-PA-10004326,Office Supplies,Paper,"Enermax Parchment Paper, Multicolor"
FUR-BO-10003541,Furniture,Bookcases,"Bush Classic Bookcase, Metal"
FUR-FU-10004823,Furniture,Furnishings,"Advantus Clock, Erganomic"
FUR-CH-10001490,Furniture,Chairs,"Novimex Executive Leather Armchair, Red"
OFF-EN-10000755,Office Supplies,Envelopes,"Ames Mailers, Recycled"
OFF-PA-10001164,Office Supplies,Paper,"Green Bar Message Books, Recycled"
FUR-TA-10002341,Furniture,Tables,"Barricks Computer Table, Fully Assembled"
